Meta,ID,Match,Owner,Deck,Played,Wins,Elo,Active,Win Rate,WRA,STR,Weight,Bayes STR,Norm Bayes STR
BMT,436fe606ce20089eff1b812f0d3f7cfcd5048947b37eb36ecf188e182fcdf421,221,Ghstflame,Garthifacts,27,5,888.151319,0,0.185185185185185,0.332579185520362,0.0615887380593263,0.788101604278075,0.0655603250072996,-0.737376529774373
BMT,43da563125bc79b4da61c64ebe37d2ccd667a34db8f04b0be06c00f72e3e2ae5,277,Wedgetable,Ruxa's Stompy Students,15,6,1045.904115,1,0.4,0.308970099667774,0.12358803986711,0.673868312757202,0.109480751185115,1.16189664298057
BMT,4538e458fce552b11f72697d99208ed0124dd6a07474a0ad2cf3ba04899a022c,149,Tank,40k Calgar,7,0,885.364606,1,0,0.287425149700599,0,0.490899357601713,0.040896880148246,-1.80391033295004
BMT,45b14794815059be509a6e7058b9a4c1f16240d03e63a0739b74e73896893c64,198,Ghstflame,Minsc & Boo vs The World,37,7,879.2207217,0,0.189189189189189,0.314814814814815,0.0595595595595596,0.83597792342187,0.0629666363059863,-0.849536720318475
BMT,4b66a4834642d7978cc28b812aac2230f06468f74f7ef42f8816c52405225060,0,Tank,"Arcades, the Strategist",0,0,1000,0,,,,,,
BMT,5294a9f95f5ac5122708597acb931885ca34efc00ceac3d7f0ed61df3cc5e032,215,Wedgetable,Aurelia Chose Violence,7,2,1012.236358,1,0.285714285714286,0.297435897435897,0.084981684981685,0.490899357601713,0.0826143347136663,9.86256822369035e-05
BMT,551a37a2134c879bae312c9ce9b58d43d70d486936573c0b50f794580d215571,182,Ghstflame,"Jinnie Fay, Jetmir's Second",6,1,957.3028558,0,0.166666666666667,0.253012048192771,0.0421686746987952,0.452504317789292,0.063062723333435,-0.845381580458399
BMT,5649276e637f4a8956efc8e5a65005329f96d2318f473a47e0a7664e5ef48617,86,Wedgetable,Sappy Fun Guys,1,0,984.3260124,0,0,0.206896551724138,0,0.121072088724584,0.0706057043594488,-0.519196642104045
BMT,571382523ffd697b392401b7df24ed2af1869f281c882647be3cd6d97c4227e7,56,Deniedpluto,Urza... I Blue Myself,1,0,979.9430279,0,0,0.193548387096774,0,0.121072088724584,0.0706057043594488,-0.519196642104045
BMT,583daf56bd86432f412c0ff7ab66ef4c18ef8b96e811f386fbbbdef729ea6acf,283,Wedgetable,Rainbow Aragorn,13,4,994.526747,1,0.307692307692308,0.282352941176471,0.0868778280542987,0.641672946495855,0.0845321451746022,0.0830314721017496
BMT,588bdc15c71967d2a534165737c532ef2e86c859653af76315db3fcfde7d688a,210,Deniedpluto,Epic Marwyning,8,7,1180.839054,1,0.875,0.244635193133047,0.214055793991416,0.524262131065533,0.150438141180554,2.93303774551597
BMT,58c1c4d4455bc23b905cc1ec39bd85c6c0a2a35f82ff994261fa9488548b389f,272,Wedgetable,Bello the Trash Panda,11,3,963.6501366,1,0.272727272727273,0.273542600896861,0.0746025275173257,0.60242474916388,0.0768802735239925,-0.247862278531025
BMT,5e12738b89a4209635fae7134530d14c7d27ff00e5d5b6261b6980f65cd88988,280,Deniedpluto,Deadly Overgrowth,7,3,1026.649789,1,0.428571428571429,0.267716535433071,0.114735658042745,0.490899357601713,0.0972205409754392,0.631722180435516
BMT,68bf8b39b7d6a9cc2d114ddb215d610aca1f23d128d40225202b73724c7762ce,32,Wedgetable,"Elrond, Master of Elves",3,0,948.1637671,0,0,0.313725490196078,0,0.292410714285714,0.0568417947298538,-1.11439633816067
BMT,6b05103a2c6e7b16c8f7103668c8d0c8ea18a2087ce3d2d92f2fa2a7eb232eeb,280,Ghstflame,Dragons,11,3,975.6716902,1,0.272727272727273,0.333333333333333,0.0909090909090909,0.60242474916388,0.0867037508850015,0.17693931468198
BMT,6ccea629486adc4caf47cc45a0960c4e2b40bb44cd59e406f4ce4960c984d3cd,248,Wedgetable,Sauron the Real One,3,1,1002.555341,1,0.333333333333333,0.319587628865979,0.106529209621993,0.292410714285714,0.0879920770077134,0.232651051920589
BMT,6f010dc6bdd0c87464cd23f7edbaf9b5f0afb799662d0a0228076e5630aa2bf7,267,Deniedpluto,Life Shrine's a Way,12,5,1084.83467,1,0.416666666666667,0.25,0.104166666666667,0.623067776456599,0.0951824701216502,0.543588853106139
BMT,6f31da55d6e662a94f4b8e84e0058df5cddfda947ef71fed76e6d44b749f8f08,242,Ghstflame,Niv-Mizzet Parun,13,5,1049.588642,0,0.384615384615385,0.370748299319728,0.142595499738357,0.641672946495855,0.120284667736001,1.62909586328653
BMT,72d97db1f823240f4cf2c9975217a8b032355468df7fe233013222df7c316b88,290,Wedgetable,Manifest Destiny,5,1,970.192177435078,1,0.2,0.284210526315789,0.0568421052631579,0.407845579078456,0.0707515261919626,-0.51289079494823
BMT,750e0bc4f0536141dbd98a01132fe92979777565e6bff5688f9df46f63d45484,268,Deniedpluto,"Go Woke, Convoke!",5,2,1044.455037,1,0.4,0.268156424581006,0.107262569832402,0.407845579078456,0.0913152897616108,0.376358419542231
BMT,75283719ff0538e79acfdbdc41f6ff071ccdcb6a1001bb94e8fb43d128505ff3,265,Tank,Eriette's Gifts,6,1,956.6320916,1,0.166666666666667,0.364485981308411,0.0607476635514019,0.452504317789292,0.0714697960093986,-0.481830290445547
BMT,753ba8e01aafcc6abe11b8f0daa7929eaa217b9a128ca603c55c3cf2913ca966,143,Deniedpluto,The Blade Wyll's It,9,4,1028.19204,0,0.444444444444444,0.221774193548387,0.0985663082437276,0.553521126760563,0.0904249058855767,0.337855099871362
BMT,75b4098373eb06e79b7022963e9dc7072472bc13106d2656ac8dbc0a605731ad,168,Wedgetable,Zedruu the Goathearted,26,3,885.4171,1,0.115384615384615,0.302521008403361,0.0349062702003879,0.781730548542575,0.0448212367269783,-1.63420739928235
BMT,7b9ad1f250d0b06eb04d46b286a7b941c680ac70b74ceb79f7189835b1ca2ab7,199,Deniedpluto,Challenge Deck,5,1,954.6943532,1,0.2,0.258064516129032,0.0516129032258065,0.407845579078456,0.0686188192589208,-0.605116518052003
BMT,7d76a26578e5bd0e71e7e4e973a8baae150530ee9b49b37ef953e9b1c2a5a56f,265,Deniedpluto,It's Toolbox Time,24,11,1147.515291,1,0.458333333333333,0.233624454148472,0.107077874818049,0.767765567765568,0.100866473881531,0.78938509859962
BMT,7f1b17a1e8ff94c578f2682192bec3f428b94a46df730a1e6b4ed3f1898ec93c,149,Wedgetable,Toxic Bug,8,0,870.5003537,0,0,0.302222222222222,0,0.524262131065533,0.0382167944556896,-1.91980663222429
BMT,82b0388fe8f6194cb6cce20349bfdfc51856ac90ba3163bc5c0a1d0c21d8d1d1,284,Wedgetable,Chiss-of-Death,31,9,991.7646377,1,0.290322580645161,0.299065420560748,0.0868254446789267,0.81025538707103,0.0855932767274631,0.128918519803726
BMT,8cc78727cf8b3f78bd25fd485e6d9086c6a8cdd1e0949a553c5e8a7ebad7fa44,290,Deniedpluto,Dongers Up!,5,2,1002.36072860849,1,0.4,0.236641221374046,0.0946564885496183,0.407845579078456,0.0861739552409238,0.154029094053302
BMT,90d04e8391ca599b2d16563c96c53b68401f0e7f405fccc5c44ac4f88ca0c232,55,Wedgetable,Astaxa,8,3,1023.381677,0,0.375,0.219101123595506,0.0821629213483146,0.524262131065533,0.0812917026963268,-0.0570966186851448
BMT,917a9280f12d03f0cd217187b8463f88d40694e488f7b5e53a3efd046479c6c9,270,Deniedpluto,Pumped Up Kicks,11,6,1078.288939,1,0.545454545454545,0.254957507082153,0.13906773113572,0.60242474916388,0.115715707643602,1.43151801429781
BMT,92732af0b74dba9e9f09063b0301986ff9c2985db128c0ae3276ce6d054fd250,75,Deniedpluto,I'd Tap That,2,1,1013.360026,0,0.5,0.198019801980198,0.099009900990099,0.215993404781533,0.0843660067405849,0.0758470638855131
BMT,935e0a04469ff5bc011c9882f208d1291be2539185a3ea0a6040819cd1de5b7a,289,Tank,Squirrel Squad,11,1,889.4297231,1,0.0909090909090909,0.284046692607004,0.0258224266006367,0.60242474916388,0.0474939334650673,-1.51863062429818
BMT,93b5bc534e7b7f5844235038f95d82203cb97958accdbff895893934556581b5,139,Tank,Aminatou Blink,7,1,938.6686085,0,0.142857142857143,0.313953488372093,0.0448504983388704,0.490899357601713,0.0629139609709142,-0.85181458643852
BMT,95239b4cda7f34bae4b94c1f28bb6f16c0a383884112048fa290509bcdc503b5,288,Deniedpluto,Incubation Nation,5,1,963.2143601,1,0.2,0.252427184466019,0.0504854368932039,0.407845579078456,0.068158987099609,-0.625001272371439
BMT,9764ac4518f5ebcd404216d3372d4e2abc292014a07d21b864ce14aaa08103c4,272,Deniedpluto,The Human Society,7,2,959.563623,1,0.285714285714286,0.231578947368421,0.0661654135338346,0.490899357601713,0.0733774391474571,-0.399337114704584
BMT,9cdb4881e87de26ed6ee17e7c769764211c609a4b4f5ceb158f77ca44399dd8a,283,Ghstflame,Reanimation Nation,11,4,1034.579393,1,0.363636363636364,0.346320346320346,0.125934671389217,0.60242474916388,0.107804027420061,1.08938923032035
BMT,a021039a429ca7770a162beecd50e937125a3c537edde744d15d69c23926fd3d,281,Deniedpluto,Friends in Wheel Life,16,4,957.6765678,1,0.25,0.258454106280193,0.0646135265700483,0.687889727600919,0.0695193054833426,-0.566176337427263
BMT,a1b25f20b5f5edf276285147f0f273e0c251b397f4773c6a9553acd98a4486f4,158,Tank,Challenge Deck,4,2,1030.62976,1,0.5,0.25,0.125,0.355254237288136,0.0962002522826601,0.587601321161171
BMT,a31c51ad4afc7d15b9b32af61f011e11caba3ee98781749f238d1a9c12a20f43,278,Deniedpluto,Baba Lysaga and the Sac Attack,12,8,1138.158717,1,0.666666666666667,0.232727272727273,0.155151515151515,0.623067776456599,0.126949486300081,1.91730597875285
BMT,a5f20cadee3dd7661d19b28ddd4a469210f4a0becbcd9c3ed8e71217315142f9,228,Deniedpluto,E.L.M.,5,3,1080.135748,1,0.6,0.32089552238806,0.192537313432836,0.407845579078456,0.126094216946097,1.88032113409477
BMT,a78b6af89d8cde094429901064ef7f008fd88a8337be66477e90aa7448c09d26,0,Tank,"Arjun, the Shifting Flame",0,0,1000,0,,,,,,
BMT,a799163f9afb711dfccd06edfb27c461497df5a98839fa8ba5716de0feeef3ee,158,Ghstflame,Challenge Deck,3,1,1007.116683,1,0.333333333333333,0.307692307692308,0.102564102564103,0.292410714285714,0.0868326372206963,0.182512811594984
BMT,a8bb1ad3b72966c2815d30b4352e35fea5b90209bfc799a6f0cd11550f370301,57,Deniedpluto,Magic Gone Wild,2,0,959.7258792,0,0,0.172131147540984,0,0.215993404781533,0.0629805211186509,-0.84893629235141
BMT,ab7768b207523ceb9f5201c1d7cbc965a98fc73c16b8b0e5917f77d52111e8ea,280,Tank,"Ziatora, the Incinerator",30,8,1017.271736,1,0.266666666666667,0.325991189427313,0.0869309838472834,0.805162876459742,0.0856451830847669,0.131163132629737
BMT,aba1b463e18c01901f7568a2fd3150d56eed4bb6d9a264b45cd640356f77aed9,192,Wedgetable,Dragons Dragons Dragons,6,3,1085.638296,0,0.5,0.335526315789474,0.167763157894737,0.452504317789292,0.119894769270113,1.61223528699431
BMT,b305b20dc4493fde9168a542a771a468c5da448307f1e73e4b2d45c24a78b453,228,Wedgetable,Gates over Fingers,5,3,1076.106494,1,0.6,0.328767123287671,0.197260273972603,0.407845579078456,0.128020455522402,1.96361844176415
BMT,b5c6dd7e2aec5d4a1057321338bbe59c4a3e14eb232c8e9897e6e8614ad08783,180,Wedgetable,Aragorn and the Fellowship,2,0,963.5461979,0,0,0.44,0,0.215993404781533,0.0629805211186509,-0.84893629235141
BMT,baa9df04ad8395506aba6a9f86ae05b24b999f9544ab59fc7051e6365a23c420,44,Wedgetable,"Miirym, Sad Dragons",1,1,1037.504501,0,1,0.186440677966102,0.186440677966102,0.121072088724584,0.0931784666640322,0.456928719396312
BMT,c2cb9639378fa7cb6a401308883385c3fd57ca84eeb84e97c3d20daed047cc08,279,Tank,IMDABES,13,5,1037.825745,1,0.384615384615385,0.335793357933579,0.129151291512915,0.641672946495855,0.111657883030677,1.25604345501484
BMT,c363ddf71e9901b84df7bc5dcda39ec6d60dd4aa9593d536c3039b0fd3a40349,187,Tank,Shadowborns Apostle,9,0,864.3082829,0,0,0.307317073170732,0,0.553521126760563,0.0358663718858796,-2.02144714257373
BMT,c3d51537f626e23e4e73be613b82d2dcddd6072367f24859f143ee75e24392e3,188,Tank,"Coram, the Undertaker",3,1,1008.520596,1,0.333333333333333,0.301204819277108,0.100401606425703,0.292410714285714,0.0862003001802268,0.155168341570016
